State,District/City,Information type,Name,Occupation,Email ID 1,Email ID 2,Phone1,Phone2,Extension,Source Link,Source,Details,Added by,Added on,Key,Sub District,Sub-Info type,Organisation
Andhra Pradesh,Krishna,Helpline,Krishna Helpline,,,,9491058200,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Kurnool,Helpline,Kurnool Helpline,,,,9441300005,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Prakasam,Helpline,Prakasam Helpline,,,,7729803162,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,SPSR Nellore,Helpline,SPSR Nellore Helpline,,,,9618232115,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Srikakulam,Helpline,Srikakulam Helpline,,,,6300073203,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,State,Helpline,,,,,8662410978,,,https://www.mohfw.gov.in/pdf/coronvavirushelplinenumber.pdf,Ministry of Health - India,Helpline Numbers of States & Union Territories (UTs) by Ministry of Health (India),,,Andhra Pradesh-Helpline,,State Helpline,Andhra Pradesh State Helpline
Andhra Pradesh,Tirupati,Laboratory,Sri Venkateswara Institute of Medical Sciences,"Dr.Usha Kalawat,",ukalawat@yahoo.com,,9493547709,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Vijaywada,Laboratory,Sidhartha Medical College,"Dr. R. Lakshmi Kumari,",rlakshmikumari@gmail.com,vrdlsmcvja@gmail.com,9290092848,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Visakhapatnam,Helpline,Visakhapatnam Helpline,,,,9666556597,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,Vishakhapatnam,Laboratory,"Andhra Medical college,",Dr.P.Kamala,drkamalavirology@gmail.com,,9246667885,,,https://icmr.nic.in/sites/default/files/upload_documents/List_of_VRDL_V2.pdf,ICMR,,,,Andhra Pradesh-Laboratory - Government,,Government Laboratory,
Andhra Pradesh,Vizianagaram,Helpline,Vizianagaram Helpline,,,,9494914971,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,West Godavari,Helpline,West Godavari Helpline,,,,8812222376,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Andhra Pradesh,YSR,Helpline,YSR Helpline,,,,8562245259,,,http://cfw.ap.nic.in/pdf/District%20COVID-19%20Call%20Centers.pdf,State Department of Health - Andhra Pradesh,District COVID-19 Call Centers (24X7) for Andhra Pradesh Districts,Simran Soni,02-04-2020,Andhra Pradesh-Helpline,,,
Arunachal Pradesh,State,Helpline,,,,,9436055743,,,https://www.mohfw.gov.in/pdf/coronvavirushelplinenumber.pdf,Ministry of Health - India,Helpline Numbers of States & Union Territories (UTs) by Ministry of Health (India),,,Arunachal Pradesh-Helpline,,State Helpline,Arunachal Pradesh State Helpline
Assam,Baksa,Helpline,Assam,,,,8471900263,8471900263,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Baksa,Helpline,Assam,,,,03624-295552,8724846530,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Baksa,Government,Dilip Kr Bothra,,,,9435555846,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Barpeta,Helpline,Assam,,,,0366-5236085,9365369069,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Barpeta,Helpline,Assam,,,,0366-252231,6026704630,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Barpeta,Government,Sabyasachy Kashyap,,,,9435187999,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Barpeta,Government,Fakkhruddin Ali Ahmed Medical College,,,,03665 252081,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Labs_functional_for_COVID19_testing_05042020.pdf,ICMR,Total Operational Government Laboratories Supported (provided diagnostic kits or reagents) by ICMR 136 + 3 collection sites,,,,,Government Laboratories,
Assam,Barpeta,Laboratory,"Fakhruddin Medical College, Barpeta",Dr. Elmy Samsun rasul,elmyrasul@yahoo.com,,9864065956,,,https://icmr.nic.in/sites/default/files/upload_documents/List_of_VRDL_V2.pdf,ICMR,,,,Assam-Laboratory - Government,,Laboratory,
Assam,Barpeta,Laboratory,"Fakhruddin Medical College, Barpeta",Dr. Elmy Samsun rasul,elmyrasul@yahoo.com,,9864065956,,,https://icmr.nic.in/sites/default/files/press_realease_files/ICMR_PressRelease_COVID_19.pdf,ICMR,laboratories for helping in sample collection for COVID -19,,,,,Sample Collection Lab,
Assam,Biswanath,Helpline,Assam,,,,03715-222086,6002668873,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Biswanath,Helpline,Assam,,,,03715-222012,8135837614,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Biswanath,Government,Pervej Amin,,,,9957623299,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Bongaigaon,Helpline,Assam,,,,NA,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Bongaigaon,Helpline,Assam,,,,9435736111,8638480652,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Bongaigaon,Government,Anupam Deka,,,,8473843111,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Cachar,Helpline,Assam,,,,03842-239249,9401624141,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Cachar,Helpline,Assam,,,,03842-246892,7086021473,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Cachar,Government,Abhilash Baranwal,,,,8822922422,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Charaideo,Helpline,Assam,,,,0377-2255123,6002670501,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Charaideo,Helpline,Assam,,,,0377-2256045,9678921813,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Charaideo,Government,Pranab Kumar Bora,,,,8811035070,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Chirang,Helpline,Assam,,,,03664-242316,9435105936,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Chirang,Helpline,Assam,,,,03664-243201,9401347035,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Chirang,Government,Karmadev Brahma,,,,9435338548,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Darrang,Helpline,Assam,,,,03713-222723,9435844400,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Darrang,Helpline,Assam,,,,03713-222213,8876603074,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Darrang,Government,Nabajyoti Ojha,,,,9435161015,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Dhemaji,Helpline,Assam,,,,03753-224014,7577035639,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Dhemaji,Helpline,Assam,,,,9859916060,8876444412,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Dhemaji,Government,Dipankar Das,,,,7002625109,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Dhubri,Helpline,Assam,,,,03652-231149,8134913269,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Dhubri,Helpline,Assam,,,,03662-232180,8486038342,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Dhubri,Government,Rahul Jaiveer,,,,9960791646,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,"District Nodal Officer, IAS",
Assam,Dibrugarh,Helpline,Assam,,,,0373-2312940,9435358371,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Dibrugarh,Helpline,Assam,,,,0373-2329655,6002075019,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Dibrugarh,Government,Runav Ramchiar,,,,8876828712,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Dibrugarh,Laboratory,Regional Medical Research Center,,,icmrrcdi@nic.in,91-373- 2381494,373-2381548,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Labs_functional_for_COVID19_testing_05042020.pdf,ICMR,Total Operational Government Laboratories Supported (provided diagnostic kits or reagents) by ICMR 136 + 3 collection sites,,,,,Government Laboratories,
Assam,Dibrugarh,Laboratory,Regional Medical Research Center,,biswaborkakoty@gmail.com,,9435131316,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Assam-Laboratory - Government,,Laboratory,
Assam,Dibrugarh,Laboratory,Regional Medical Research Center,Dr.Biswa Borkakoty,biswaborkakoty@gmail.com,,9435131316,,,https://icmr.nic.in/sites/default/files/press_realease_files/ICMR_PressRelease_COVID_19.pdf,ICMR,testing sites for COVID -19,,,,,Testing Lab,
Assam,Dima Hasao,Helpline,Assam,,,,NA,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Dima Hasao,Helpline,Assam,,,,8638389873,8638389873,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Dima Hasao,Government,Iban Teron,,,,9678011486,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Goalaghat,Helpline,Assam,,,,03774-285033,9435292948,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Goalaghat,Helpline,Assam,,,,8134820114,8134820114,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Goalaghat,Government,Uday Praveen,,,,9490123960,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Goalpara,Helpline,Assam,,,,8638412176,8638412176,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Goalpara,Helpline,Assam,,,,03663-24003,9435721514,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Goalpara,Government,Rituparna Das,,,,9711026198,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Guwahati,Laboratory,Gauhati Medical College,,,,0361-2139219,0361-2139220,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Labs_functional_for_COVID19_testing_05042020.pdf,ICMR,Total Operational Government Laboratories Supported (provided diagnostic kits or reagents) by ICMR 136 + 3 collection sites,,,,,Government Laboratories,
Assam,Guwahati,Laboratory,Gauhati Medical College,Dr. Ajanta Sharma,"virologygmch@gmail.com,
ajantasharma2002@yahoo.com",,9435011202,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Assam-Laboratory - Government,,Laboratory,
Assam,Guwahati,Laboratory,Gauhati Medical College,Dr. Ajanta Sharma,"virologygmch@gmail.com,
ajantasharma2002@yahoo.com",,9435011202,,,https://icmr.nic.in/sites/default/files/press_realease_files/ICMR_PressRelease_COVID_19.pdf,ICMR,testing sites for COVID -19,,,,,Testing Lab,
Assam,Guwahati City,Helpline,Assam,,,,0361-273352,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Guwahati City,Helpline,Assam,,,,0361-2464557,9127801077/78,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Hailakandi,Helpline,Assam,,,,03844-223377,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Hailakandi,Helpline,Assam,,,,03844-222254,9864609954,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Hailakandi,Government,Ranadip Dam,,,,8638241309,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Hamren,Helpline,Assam,,,,03677-230051,6003256039,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Hamren,Helpline,Assam,,,,9401321286,8474834510,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Hojal,Helpline,Assam,,,,0367-4284022,6003256039,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Hojal,Helpline,Assam,,,,3674284172,6000924750,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Hojal,Government,Sri Pankaj Deka,,,,9435119326,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Jorhat,Helpline,Assam,,,,NA,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Jorhat,Helpline,Assam,,,,03762-320018,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Jorhat,Government,Jorhat Medical College,,,,0376 2370107,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Labs_functional_for_COVID19_testing_05042020.pdf,ICMR,Total Operational Government Laboratories Supported (provided diagnostic kits or reagents) by ICMR 136 + 3 collection sites,,,,,Government Laboratories,
Assam,Jorhat,Laboratory,Jorhat Medical College,Dr. Purnima Barua,"drpbm29@gmail.com
drpurnimabarua@gmail.com",,9435141989,,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Lab_COVID_19_Testing_V2.pdf,ICMR,,,,Assam-Laboratory - Government,,Laboratory,
Assam,Jorhat,Government,Aditya Vikram Yadav,,,,9990011311,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,"Nodal Officer, IAS",
Assam,Jorhat,Laboratory,Jorhat Medical College,Dr. Purnima Barua,"drpbm29@gmail.com
drpurnimabarua@gmail.com",,9435141989,,,https://icmr.nic.in/sites/default/files/press_realease_files/ICMR_PressRelease_COVID_19.pdf,ICMR,laboratories for helping in sample collection for COVID -19,,,,,Sample Collection Lab,
Assam,Kamrup,Helpline,Assam,,,,9678471071,6026656653,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Kamrup,Helpline,Assam,,,,0361-2684402,7578982561,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Kamrup,Government,Gunajit Roy Choudhury,,,,9435058920,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Kamrup Metro,Government,Sharmista Bora,,,,9864053741,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Karbi-Anglong,Helpline,Assam,,,,03671-272248,7896039111,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Karbi-Anglong,Helpline,Assam,,,,034571-272594,9365972436,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Karbi-Anglong,Government,M P Das,,,,9435348296,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Karimganj,Helpline,Assam,,,,03843-265144,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Karimganj,Helpline,Assam,,,,03843-266101,9954399885,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Karimganj,Government,Dr. R Chakraborty,,,,8638628106,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,"Nodal Officer, MD",
Assam,Kokrajhar,Helpline,Assam,,,,9613862548,9623862548,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Kokrajhar,Helpline,Assam,,,,8811029100,8486356200,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Kokrajhar,Government,Debeswar Bora,,,,8811030022,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Kokrajhar,Government,Debeswar Bora,,,,8811030022,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Lakhimpur,Helpline,Assam,,,,03752-244736,NA,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
Assam,Lakhimpur,Helpline,Assam,,,,03752-223737,9435760899,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - Police,
Assam,Lakhimpur,Government,Javed Arman,,,,9864283134,,,https://covid19.assam.gov.in/district-wise-list-of-nodal-officers/,Govt. of Assam,District Nodal Officer Number,,,,,District Nodal Officer,
Assam,Majuli,Helpline,Assam,,,,0377-5274499,7635961522,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/district-level-helpline-no.pdf,Govt. of Assam,District level helpline numbers,,,,,District Level Helpline Numbers - District Disaster Management,
